,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
932,932,test_1169,test,0,negative,put that the hideous coffin,a hideous confusing spectacle one that may well put the nail in the coffin of any future rice adaptations,[1.6670637  1.4942926  1.25179    0.91654944 0.8662832 ]
103,103,test_1399,test,0,negative,knockaround notes faded spanish the,i saw knockaround guys yesterday and already the details have faded like photographs from the spanish american war it s so unmemorable that it turned my ballpoint notes to invisible ink,[2.0385041 1.882176  1.8765332 1.8238524 1.6625416]
252,252,test_194,test,1,positive,updated mr alienated parker hilarious,mr parker has brilliantly updated his source and grasped its essence composing a sorrowful and hilarious tone poem about alienated labor or an absurdist workplace sitcom,[2.0093744 1.4546707 1.4074361 1.3466885 1.2495338]
1680,1680,test_628,test,1,positive,of and a blend fiction,a clever blend of fact and fiction,[ 2.1167333   0.8600539   0.24703941 -0.29496202 -0.3135474 ]
48,48,test_1069,test,0,negative,torture sledgehammers century that spanish,focuses on joan s raging hormones and sledgehammers the audience with spanish inquisitions about her madness so much that i became mad that i wasted 123 minutes and 9 50 on this 21st century torture device,[1.2986279 1.2364235 1.225221  1.015141  1.001342 ]
939,939,test_1528,test,0,negative,ripe n film help t,the pivotal narrative point is so ripe the film ca n t help but go soft and stinky,[1.315413   0.9403319  0.71608126 0.44968036 0.40889582]
1080,1080,test_1757,test,0,negative,sandal exposition adventure above the,all the necessary exposition prevents the picture from rising above your generic sand n sandal adventure,[1.68818   1.5276791 1.1941113 1.1778965 1.0562463]
1249,1249,test_996,test,1,positive,bloodshed choreographed a place in,lovingly choreographed bloodshed taking place in a pristine movie neverland basically,[ 0.9328246   0.1059522  -0.167362   -0.2073685  -0.24246731]
754,754,test_611,test,1,positive,tale the it feel the,you can feel the heat that ignites this gripping tale and the humor and humanity that root it in feeling,[1.0496347  1.0336996  0.4800517  0.41218314 0.23681428]
1525,1525,test_1629,test,0,negative,to take too humorous advantage,too lazy to take advantage of its semi humorous premise,[ 0.9275753   0.581773   -0.06224732 -0.30304402 -0.3792431 ]
