,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
443,443,test_836,test,1,positive,viewings provocative it it and only invites darkly,thrilling provocative and darkly funny this timely sci fi mystery works on so many different levels that it not only invites it demands repeated viewings,"[0.04791411 0.04369461 0.03945167 0.03945167 0.03744033 0.0337894
 0.02759323 0.0253717 ]"
1131,1131,test_1031,test,0,negative,and of rudimentary obvious the the chances arnold,obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold,"[0.16941768 0.11068427 0.05048999 0.04654801 0.02825067 0.02825067
 0.01455499 0.01021924]"
625,625,test_1002,test,0,negative,overloads pender but sugary business time poignant bits,the story is naturally poignant but first time screenwriter paul pender overloads it with sugary bits of business,"[0.6304116  0.2214351  0.20576715 0.1864469  0.17371675 0.15528974
 0.12448122 0.11211884]"
77,77,test_834,test,1,positive,and spirit too too little like are a,there are times when a rumor of angels plays like an extended episode of touched by an angel a little too much dancing a few too many weeping scenes but i liked its heart and its spirit,"[0.14380164 0.11355166 0.10284623 0.10284623 0.06488927 0.05511829
 0.04813915 0.04412016]"
195,195,test_804,test,1,positive,and unequivocally junk giddily is entertaining that colorful,the way coppola professes his love for movies both colorful pop junk and the classics that unequivocally qualify as art is giddily entertaining,"[0.31594855 0.31308955 0.19106168 0.13960905 0.13453504 0.10351644
 0.07518388 0.05345699]"
1062,1062,test_1532,test,0,negative,frustratingly music than tells us nothing his gallo,frustratingly dridi tells us nothing about el gallo other than what emerges through his music,"[0.33901316 0.13324164 0.10386496 0.08057006 0.05671354 0.05494533
 0.04256363 0.03631638]"
543,543,test_686,test,1,positive,who but escaped mark sweet town ending with,do n t plan on the perfect ending but sweet home alabama hits the mark with critics who escaped from a small town life,"[0.11757116 0.0803382  0.07034066 0.0572277  0.04071102 0.03772173
 0.03567686 0.03415587]"
1517,1517,test_1282,test,0,negative,the are tedious fun fight but grows scenes,the fight scenes are fun but it grows tedious,"[0.1653064  0.14806789 0.04218147 0.0387305  0.02584816 0.01934837
 0.01181958 0.01053534]"
163,163,test_744,test,1,positive,mildly s s discontented and performance of weaver,its direction its script and weaver s performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes if that s what you re in the mood for,"[0.16270393 0.15193805 0.15193805 0.15062131 0.13379523 0.1109817
 0.07844648 0.07149014]"
1280,1280,test_38,test,1,positive,the else amazing dwarfs provides film that gosling,gosling provides an amazing performance that dwarfs everything else in the film,"[0.07455859 0.04791575 0.02632014 0.02142624 0.01980255 0.01868596
 0.01668462 0.01495273]"
885,885,test_260,test,1,positive,and clever of is this movie enormous caper,this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences,"[0.21833001 0.04098241 0.02754204 0.02373109 0.02333421 0.02206094
 0.02184402 0.02097516]"
