,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
595,595,test_408,test,1,positive,exhilarating because is reveals the sandler watch,the film is exhilarating to watch because sandler liberated from the constraints of formula reveals unexpected depths as an actor,"[0.0945382  0.08599861 0.06334778 0.05836086 0.04990643 0.04990138
 0.04343896]"
929,929,test_1154,test,0,negative,reverence more for the have being would,being author wells great grandson you d think filmmaker simon wells would have more reverence for the material,"[0.18873656 0.08905725 0.06303936 0.05666142 0.0469548  0.04468989
 0.04216098]"
947,947,test_1790,test,1,positive,succeeds in providing disquiet a dreaded police,succeeds in providing a disquiet world the long dreaded completion of the police academy series,"[0.26437938 0.09605508 0.06961852 0.06234991 0.0402329  0.0304069
 0.02817214]"
286,286,test_100,test,0,negative,neither somewhere short nor unpretentious agreeably on,somewhere short of tremors on the modern b scene neither as funny nor as clever though an agreeably unpretentious way to spend ninety minutes,"[0.11450195 0.07742711 0.04523443 0.04313527 0.03537001 0.03294999
 0.02522626]"
547,547,test_760,test,1,positive,a s it beautifully accomplished lyrical despondent,it s a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel,"[0.10509777 0.09903406 0.09164171 0.08641582 0.06833245 0.06364705
 0.04014008]"
199,199,test_1033,test,0,negative,is under ultimately by pulled the lack,a simple sometimes maddeningly slow film that has just enough charm and good acting to make it interesting but is ultimately pulled under by the pacing and lack of creativity within,"[0.05129573 0.0508904  0.04774598 0.04099339 0.04023922 0.03750483
 0.03251051]"
141,141,test_1086,test,0,negative,and the then cringing starts sucks you,the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun toward the end you can feel your veins cringing from the workout,"[0.05585775 0.05398237 0.04842366 0.04590932 0.03940508 0.03772619
 0.0354938 ]"
579,579,test_1,test,1,positive,emerges s that honest keenly an does,emerges as something rare an issue movie that s so honest and keenly observed that it does n t feel like one,"[0.06486532 0.06158641 0.05754079 0.05495746 0.05430317 0.05049197
 0.04799022]"
274,274,test_1017,test,0,negative,cliches but telegraphed stuffs smell and her,nair stuffs the film with dancing henna ornamentation and group song but her narrative cliches and telegraphed episodes smell of old soap opera,"[0.1052923  0.08013222 0.05950017 0.05535374 0.04830318 0.04761557
 0.03401506]"
606,606,test_679,test,1,positive,because works the it avoids most part,works because for the most part it avoids the stupid cliches and formulaic potholes that befall its brethren,"[0.1602397  0.13869895 0.11841377 0.06555235 0.05735513 0.04971681
 0.03059891]"
853,853,test_1188,test,0,negative,flaunts like its excesses quirky a sporting,flaunts its quirky excesses like a new year s eve drunk sporting a paper party hat,"[0.15789811 0.0870003  0.07871693 0.05126638 0.03312073 0.03172313
 0.03077751]"
513,513,test_1519,test,0,negative,does t and transcends never punchline perfectly,never quite transcends jokester status and the punchline does n t live up to barry s dead eyed perfectly chilled delivery,"[0.11285686 0.06378645 0.05374007 0.05133492 0.04950647 0.03939726
 0.0297018 ]"
855,855,test_1270,test,0,negative,spends a coma never in sign when,it s never a good sign when a film s star spends the entirety of the film in a coma,"[0.08708729 0.04615143 0.0454783  0.0448928  0.0425391  0.03869621
 0.03541469]"
415,415,test_1770,test,0,negative,as becomes overshadowed is just with by,the premise is overshadowed by the uberviolence of the clericks as this becomes just another kung fu sci fi movie with silly action sequences,"[0.067858   0.0654337  0.05523626 0.05439069 0.03677467 0.03394995
 0.03184687]"
1688,1688,test_911,test,1,positive,a little loving of considerable film appeal,a loving little film of considerable appeal,"[0.12920618 0.09794085 0.09160232 0.09031355 0.07558401 0.06136889
 0.05017737]"
1608,1608,test_348,test,1,positive,best the its movie kind of since,the best movie of its kind since brazil,"[0.15825532 0.14632201 0.07028668 0.05352689 0.04387358 0.03184976
 0.03038647]"
456,456,test_1456,test,0,negative,rehash forsaken have and and instead leave,the makers have forsaken the entertaining elements of the original and instead rehash old jokes and leave any life at the doorstep,"[0.08558537 0.07405612 0.068      0.06051318 0.0498167  0.04796009
 0.041951  ]"
1248,1248,test_987,test,0,negative,incoherent silliest arguably and s year most,arguably the year s silliest and most incoherent movie,"[0.15305838 0.09803827 0.06662267 0.05851766 0.04922393 0.04887488
 0.04741398]"
211,211,test_1613,test,0,negative,shares preciousness cleverness facile noxious that too,based on a david leavitt story the film shares that writer s usual blend of observant cleverness too facile coincidence and slightly noxious preciousness,"[0.09379693 0.05858273 0.04876623 0.04274423 0.03858782 0.03683191
 0.03667979]"
591,591,test_351,test,1,positive,creates an kaufman but eerie sense of,kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed,"[0.23252904 0.10137677 0.09246954 0.04255028 0.0412918  0.03944078
 0.03404195]"
482,482,test_520,test,1,positive,a while that exposes precious providing a,a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives,"[0.08554862 0.08336671 0.08287257 0.06864452 0.05218799 0.04837781
 0.04488028]"
773,773,test_1104,test,0,negative,falls meddling short due to largely s,earnest falls short of its ideal predecessor largely due to parker s ill advised meddling with the timeless source material,"[0.08267353 0.0615434  0.05845854 0.05409239 0.05131133 0.04482235
 0.04480192]"
1463,1463,test_1476,test,0,negative,seems timing the off beat half a,the timing in nearly every scene seems a half beat off,"[0.09735104 0.07060208 0.06483276 0.0639549  0.05992837 0.040674
 0.03985614]"
333,333,test_295,test,1,positive,is fine a valedictory for made polanski,the pianist is a fine valedictory work for polanski made richer by his own experiences making his other movies somehow richer in the bargain,"[0.1058626  0.07623772 0.0739758  0.06474001 0.05567444 0.05161541
 0.0383525 ]"
749,749,test_540,test,1,positive,dig and surprisingly its deep claws s,it s the cinematic equivalent of a good page turner and even if it s nonsense its claws dig surprisingly deep,"[0.09740874 0.09618826 0.08637705 0.08294708 0.07761386 0.0654783
 0.05382247]"
831,831,test_631,test,1,positive,theirs is and should a simple that,theirs is a simple and heart warming story full of mirth that should charm all but the most cynical,"[0.10291815 0.08292784 0.05621005 0.05292162 0.05184086 0.05141891
 0.04943098]"
942,942,test_1621,test,0,negative,it mean s just does honey interesting,just because it really happened to you honey does n t mean that it s interesting to anyone else,"[0.06180447 0.06075467 0.05636386 0.05333958 0.05288364 0.0527829
 0.04873684]"
369,369,test_1743,test,0,negative,but impossible is mean by nearly shot,the streets shot by cinematographer michael ballhaus may be as authentic as they are mean but it is nearly impossible to care about what happens on them,"[0.08851355 0.08018471 0.05278237 0.04035343 0.03543501 0.03489894
 0.03171996]"
1171,1171,test_306,test,1,positive,unbelievably an just fun film a from,an unbelievably fun film just a leading man away from perfection,"[0.20857635 0.13345878 0.11185141 0.06024699 0.04985273 0.03876836
 0.03102399]"
552,552,test_948,test,0,negative,is substandard an angst attempt worse ridden,the only thing worse than your substandard run of the mill hollywood picture is an angst ridden attempt to be profound,"[0.06829928 0.06782214 0.06402697 0.05406903 0.03491768 0.03334044
 0.03204112]"
686,686,test_768,test,1,positive,surprising finds depth its in look but,sits uneasily as a horror picture but finds surprising depth in its look at the binds of a small family,"[0.12057084 0.1062828  0.080263   0.05808425 0.05577081 0.04900432
 0.0432752 ]"
551,551,test_877,test,0,negative,stultifyingly contrived are its and too and,its gross out gags and colorful set pieces are of course stultifyingly contrived and too stylized by half,"[0.09607973 0.0588932  0.05264296 0.04922816 0.04427408 0.04424565
 0.03548665]"
1200,1200,test_1366,test,0,negative,disjointed humorless s a mess it as,but as a movie it s a humorless disjointed mess,"[0.15431702 0.0827647  0.06898819 0.05329218 0.04575    0.04516875
 0.03769363]"
873,873,test_1749,test,0,negative,graphically just is unceasing the director sadism,the unceasing sadism is so graphically excessive the director just ends up exposing his own obsession,"[0.07467049 0.05691841 0.05251644 0.05215949 0.03756359 0.03595678
 0.03506157]"
1657,1657,test_1797,test,0,negative,suffer from the the format chosen stories,the stories here suffer from the chosen format,"[0.11927128 0.07262727 0.07261399 0.05778925 0.05594914 0.05453421
 0.04955652]"
443,443,test_836,test,1,positive,and this thrilling darkly works it that,thrilling provocative and darkly funny this timely sci fi mystery works on so many different levels that it not only invites it demands repeated viewings,"[0.07719134 0.06631137 0.04923137 0.04702768 0.04237543 0.04058048
 0.03999918]"
1554,1554,test_887,test,1,positive,and thoughtful lots even of stinging fun,thoughtful even stinging at times and lots of fun,"[0.11080468 0.08773668 0.08619486 0.08575784 0.062575   0.05571812
 0.04114637]"
270,270,test_775,test,1,positive,gives erika is huppert that a so,huppert gives erika a persona that is so intriguing that you find yourself staring hypnotically at her trying to understand her and wondering if she ll crack,"[0.08866464 0.08338065 0.07058587 0.0653851  0.05926424 0.04249262
 0.03865851]"
621,621,test_932,test,0,negative,lacks unlike besson s storyteller transporter perspective,unlike his directorial efforts la femme nikita and the professional the transporter lacks besson s perspective as a storyteller,"[0.19629215 0.12131332 0.05115517 0.04138883 0.03218133 0.02342497
 0.02161546]"
502,502,test_1213,test,1,positive,has keeps that chipper a bright style,davis has a bright chipper style that keeps things moving while never quite managing to connect her wish fulfilling characters to the human race,"[0.09246671 0.08639595 0.07881637 0.07774794 0.0730748  0.06609866
 0.0533352 ]"
