,text,label_id,exp_split,label,annotation_id,feat
14412,"Australia reached 84 for one at tea , after bowling the New Zealanders out for 353 just three balls into the second session , on the second day of the First Test in Brisbane .",deeplift,dev,2,dev_14412,deeplift
16467,Russian President Vladimir Putin cast doubt on Tuesday over the viability of holding elections as planned next month in an Iraq under   quot;total occupation quot ; .,scaled attention,dev,0,dev_16467,scaled attention
5208,"  BAGHDAD ( Reuters ) - Militants led by Washington 's top foe   in Iraq said they would kill an American and a Briton on   Tuesday unless their demands were met , a day after they   released footage showing them severing the head of another U.S.   hostage .",scaled attention,dev,0,dev_5208,scaled attention
1208,"MANNHEIM , Germany Aug. 23 , 2004 - An Army reservist charged with abusing Iraqi detainees at Abu Ghraib prison said Monday he will plead guilty to some offenses , acknowledging he broke the law and saying he accepts responsibility for his actions .",scaled attention,dev,0,dev_1208,scaled attention
8955,"BRUSSELS : European Commission president Jose Manuel Barroso has defended the appointment of Rocco Buttiglione as Europe # 39;s justice and security chief , despite outrage at his claims that homosexuality is a sin .",attention,dev,5,dev_8955,attention
15385,"Today 's Virginia - Virginia Tech showdown in Blacksburg wo n't be the only college football game in the Commonwealth with high - stakes implications . Three teams from Virginia play first - round games in the Division I - AA playoffs today , including a top-25 matchup between No . 6 William    Mary and No . 11 Hampton at Zable Stadium in Williamsburg .",scaled attention,dev,0,dev_15385,scaled attention
10706,"Sudan # 39;s government and rebels resumed peace talks in Nigeria # 39;s capital Monday aimed at resolving the crisis in Sudan   # 39;s Darfur region , which has left tens of thousands of people dead and displaced more than 1 million",scaled attention,dev,0,dev_10706,scaled attention
17947,"Q : I have a colleague in another department who is extremely pushy and rude toward me . Not only can she can be very short and abrasive , but I 'm afraid she 's not even aware that she 's talking down to me . We work together -- I do not work for her . How can I address this problem of disrespect before it ...",lime,dev,3,dev_17947,lime
857,"Reuters - Louis de Bernieres , author of the best - selling novel "" Captain Corelli 's Mandolin "" , faces having\to rewrite the first four chapters of his new novel because his computer was stolen from his summerhouse .",lime,dev,3,dev_857,lime
1653,"Two of Germany # 39;s biggest banks became the latest victims of phishing attacks last week as internationally organized criminal groups roam the globe seeking new targets , according to a spokesman at Postbank .",gradients,dev,4,dev_1653,gradients
