,text,label,exp_split,label_id,annotation_id,feat
160,this is a story of two misfits who do n t stand a chance alone but together they are magnificent,1,dev,lime,dev_160,lime
386,another one of those estrogen overdose movies like divine secrets of the ya ya sisterhood except that the writing acting and character development are a lot better,0,dev,attention,dev_386,attention
12,a beguiling splash of pastel colors and prankish comedy from disney,1,dev,lime,dev_12,lime
608,for all the writhing and wailing tears rage and opium overdoses there s no sense of actual passion being washed away in love s dissolution,0,dev,attention,dev_608,attention
184,in all this is a watchable movie that s not quite the memorable experience it might have been,0,dev,attention,dev_184,attention
815,if looking for a thrilling sci fi cinematic ride do n t settle for this imposter,0,dev,attention,dev_815,attention
615,tries to add some spice to its quirky sentiments but the taste is all too familiar,4,dev,gradients,dev_615,gradients
447,no telegraphing is too obvious or simplistic for this movie,4,dev,gradients,dev_447,gradients
81,a must see for the david mamet enthusiast and for anyone who appreciates intelligent stylish moviemaking,4,dev,gradients,dev_81,gradients
488,i had to look away this was god awful,2,dev,ig,dev_488,ig
110,altogether this is successful as a film while at the same time being a most touching reconsideration of the familiar masterpiece,1,dev,lime,dev_110,lime
467,detox is ultimately a pointless endeavor,2,dev,ig,dev_467,ig
586,delivers the same old same old tarted up with latin flava and turned out by hollywood playas,4,dev,gradients,dev_586,gradients
176,as a first time director paxton has tapped something in himself as an actor that provides frailty with its dark soul,0,dev,attention,dev_176,attention
316,a tender witty captivating film about friendship love memory trust and loyalty,2,dev,ig,dev_316,ig
400,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure,4,dev,gradients,dev_400,gradients
235,ramsay as in ratcatcher remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid,1,dev,lime,dev_235,lime
656,even the finest chef ca n t make a hotdog into anything more than a hotdog and robert de niro ca n t make this movie anything more than a trashy cop buddy comedy,2,dev,ig,dev_656,ig
432,majidi is an unconventional storyteller capable of finding beauty in the most depressing places,4,dev,gradients,dev_432,gradients
28,in a way the film feels like a breath of fresh air but only to those that allow it in,4,dev,gradients,dev_28,gradients
854,something like scrubbing the toilet,2,dev,ig,dev_854,ig
56,for the most part stevens glides through on some solid performances and witty dialogue,0,dev,attention,dev_56,attention
862,the humor is n t as sharp the effects not as innovative nor the story as imaginative as in the original,0,dev,attention,dev_862,attention
31,næs directed the stage version of elling and gets fine performances from his two leads who originated the characters on stage,0,dev,attention,dev_31,attention
58,against all odds in heaven and hell it creeped me out just fine,1,dev,lime,dev_58,lime
251,anchored by friel and williams s exceptional performances the film s power lies in its complexity,4,dev,gradients,dev_251,gradients
118,a story we have n t seen on the big screen before and it s a story that we as americans and human beings should know,2,dev,ig,dev_118,ig
598,it s not that kung pow is n t funny some of the time it just is n t any funnier than bad martial arts movies are all by themselves without all oedekerk s impish augmentation,0,dev,attention,dev_598,attention
532,the movie is what happens when you blow up small potatoes to 10 times their natural size and it ai n t pretty,2,dev,ig,dev_532,ig
215,a subject like this should inspire reaction in its audience the pianist does not,1,dev,lime,dev_215,lime
705,nelson s brutally unsentimental approach sucks the humanity from the film leaving behind an horrific but weirdly unemotional spectacle,0,dev,attention,dev_705,attention
436,it s a demented kitsch mess although the smeary digital video does match the muddled narrative but it s savvy about celebrity and has more guts and energy than much of what will open this year,1,dev,lime,dev_436,lime
516,try as i may i ca n t think of a single good reason to see this movie even though everyone in my group extemporaneously shouted thank you,2,dev,ig,dev_516,ig
179,a tender heartfelt family drama,2,dev,ig,dev_179,ig
309,it s fun lite,2,dev,ig,dev_309,ig
290,if you dig on david mamet s mind tricks rent this movie and enjoy,2,dev,ig,dev_290,ig
186,that is a compliment to kuras and miller,4,dev,gradients,dev_186,gradients
508,if the movie succeeds in instilling a wary sense of there but for the grace of god it is far too self conscious to draw you deeply into its world,2,dev,ig,dev_508,ig
217,the weight of the piece the unerring professionalism of the chilly production and the fascination embedded in the lurid topic prove recommendation enough,4,dev,gradients,dev_217,gradients
335,one from the heart,2,dev,ig,dev_335,ig
691,the humor is forced and heavy handed and occasionally simply unpleasant,2,dev,ig,dev_691,ig
84,far more imaginative and ambitious than the trivial cash in features nickelodeon has made from its other animated tv series,1,dev,lime,dev_84,lime
449,in its best moments resembles a bad high school production of grease without benefit of song,2,dev,ig,dev_449,ig
362,it gets onto the screen just about as much of the novella as one could reasonably expect and is engrossing and moving in its own right,0,dev,attention,dev_362,attention
536,in the end we are left with something like two ships passing in the night rather than any insights into gay love chinese society or the price one pays for being dishonest,4,dev,gradients,dev_536,gradients
846,the film flat lines when it should peak and is more missed opportunity and trifle than dark decadent truffle,4,dev,gradients,dev_846,gradients
80,beautifully observed miraculously unsentimental comedy drama,2,dev,ig,dev_80,ig
534,this is not the undisputed worst boxing movie ever but it s certainly not a champion the big loser is the audience,4,dev,gradients,dev_534,gradients
227,the movie has an infectious exuberance that will engage anyone with a passing interest in the skate surf culture the l a beach scene and the imaginative and sometimes illegal ways kids can make a playground out of the refuse of adults,1,dev,lime,dev_227,lime
274,unflinchingly bleak and desperate,1,dev,lime,dev_274,lime
366,instead he shows them the respect they are due,2,dev,ig,dev_366,ig
59,it s refreshing to see a girl power movie that does n t feel it has to prove anything,2,dev,ig,dev_59,ig
149,for the first time in years de niro digs deep emotionally perhaps because he s been stirred by the powerful work of his co stars,1,dev,lime,dev_149,lime
383,if you enjoy more thoughtful comedies with interesting conflicted characters this one is for you,4,dev,gradients,dev_383,gradients
440,a movie with a real anarchic flair,0,dev,attention,dev_440,attention
272,if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage then esther s story is a compelling quest for truth,0,dev,attention,dev_272,attention
99,a warm but realistic meditation on friendship family and affection,0,dev,attention,dev_99,attention
112,the best film about baseball to hit theaters since field of dreams,2,dev,ig,dev_112,ig
811,bad,3,dev,deeplift,dev_811,deeplift
263,mr tsai is a very original artist in his medium and what time is it there,1,dev,lime,dev_263,lime
562,it s as if you re watching a movie that was made in 1978 but not released then because it was so weak and it has been unearthed and released now when it has become even weaker,0,dev,attention,dev_562,attention
750,works hard to establish rounded characters but then has nothing fresh or particularly interesting to say about them,2,dev,ig,dev_750,ig
344,a woman s pic directed with resonance by ilya chaiken,1,dev,lime,dev_344,lime
343,liotta put on 30 pounds for the role and has completely transformed himself from his smooth goodfellas image,2,dev,ig,dev_343,ig
797,the film makes a fatal mistake it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life,4,dev,gradients,dev_797,gradients
479,"the iditarod lasts for days this just felt like
it did",0,dev,attention,dev_479,attention
648,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time,4,dev,gradients,dev_648,gradients
688,an occasionally funny but overall limp fish out of water story,2,dev,ig,dev_688,ig
196,it inspires a continuing and deeply satisfying awareness of the best movies as monumental picture shows,0,dev,attention,dev_196,attention
461,it all drags on so interminably it s like watching a miserable relationship unfold in real time,0,dev,attention,dev_461,attention
374,atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues,4,dev,gradients,dev_374,gradients
678,intriguing documentary which is emotionally diluted by focusing on the story s least interesting subject,1,dev,lime,dev_678,lime
295,despite the 2 d animation the wild thornberrys movie makes for a surprisingly cinematic experience,1,dev,lime,dev_295,lime
236,a lean deftly shot well acted weirdly retro thriller that recalls a raft of 60s and 70s european set spy pictures,0,dev,attention,dev_236,attention
821,but this films lacks the passion required to sell the material,2,dev,ig,dev_821,ig
297,though only 60 minutes long the film is packed with information and impressions,3,dev,deeplift,dev_297,deeplift
762,the tale of tok andy lau a sleek sociopath on the trail of o takashi sorimachi the most legendary of asian hitmen is too scattershot to take hold,0,dev,attention,dev_762,attention
417,it s so good that its relentless polished wit can withstand not only inept school productions but even oliver parker s movie adaptation,1,dev,lime,dev_417,lime
405,so too is this comedy about mild culture clashing in today s new delhi,0,dev,attention,dev_405,attention
46,it provides an honest look at a community striving to anchor itself in new grounds,0,dev,attention,dev_46,attention
399,a good piece of work more often than not,1,dev,lime,dev_399,lime
66,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession,4,dev,gradients,dev_66,gradients
509,there are simply too many ideas floating around part farce part sliding doors part pop video and yet failing to exploit them,0,dev,attention,dev_509,attention
140,though it s become almost redundant to say so major kudos go to leigh for actually casting people who look working class,2,dev,ig,dev_140,ig
610,a nightmare date with a half formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes,0,dev,attention,dev_610,attention
551,the plot convolutions ultimately add up to nothing more than jerking the audience s chain,5,dev,scaled attention,dev_551,scaled attention
589,in exactly 89 minutes most of which passed as slowly as if i d been sitting naked on an igloo formula 51 sank from quirky to jerky to utter turkey,4,dev,gradients,dev_589,gradients
764,a lackluster unessential sequel to the classic disney adaptation of j m barrie s peter pan,0,dev,attention,dev_764,attention
311,i just loved every minute of this film,1,dev,lime,dev_311,lime
320,while locals will get a kick out of spotting cleveland sites the rest of the world will enjoy a fast paced comedy with quirks that might make the award winning coen brothers envious,0,dev,attention,dev_320,attention
