,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
595,595,test_408,test,1,positive,exhilarating as formula an liberated to reveals,the film is exhilarating to watch because sandler liberated from the constraints of formula reveals unexpected depths as an actor,"[2.0288892  1.6852691  1.6823488  1.3732744  1.1861103  0.9445989
 0.32761088]"
929,929,test_1154,test,0,negative,d material grandson wells think author for,being author wells great grandson you d think filmmaker simon wells would have more reverence for the material,"[2.2256763  1.4631099  0.8132487  0.79628944 0.62744766 0.51270413
 0.17962521]"
947,947,test_1790,test,1,positive,completion succeeds providing world a long of,succeeds in providing a disquiet world the long dreaded completion of the police academy series,"[2.4509237  1.6242839  1.4127663  1.2242892  0.82030046 0.75746197
 0.6064134 ]"
286,286,test_100,test,0,negative,agreeably minutes spend though an as nor,somewhere short of tremors on the modern b scene neither as funny nor as clever though an agreeably unpretentious way to spend ninety minutes,"[1.6311586  1.4076462  1.4076244  1.0971855  1.0842766  0.64667124
 0.5325075 ]"
547,547,test_760,test,1,positive,chelsea it a vulnerable in bunch living,it s a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel,"[1.1496077  0.8985886  0.6926945  0.6911814  0.61236626 0.467904
 0.38777816]"
199,199,test_1033,test,0,negative,a charm that has and make by,a simple sometimes maddeningly slow film that has just enough charm and good acting to make it interesting but is ultimately pulled under by the pacing and lack of creativity within,[2.5660534 2.2044365 1.931415  1.4000582 1.1964515 1.0041409 0.8546373]
141,141,test_1086,test,0,negative,wild a toward out workout cringing blood,the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun toward the end you can feel your veins cringing from the workout,"[1.9160151  1.9131752  1.714424   0.94468564 0.89775467 0.85483664
 0.73787457]"
579,579,test_1,test,1,positive,honest as t one observed feel does,emerges as something rare an issue movie that s so honest and keenly observed that it does n t feel like one,"[1.2787439  0.98853886 0.81937116 0.60232705 0.48873293 0.35416088
 0.31010082]"
274,274,test_1017,test,0,negative,group and with narrative but cliches her,nair stuffs the film with dancing henna ornamentation and group song but her narrative cliches and telegraphed episodes smell of old soap opera,"[1.2560189  1.2514547  1.1364695  0.7601585  0.53981584 0.41502893
 0.22515875]"
606,606,test_679,test,1,positive,it befall works for its stupid formulaic,works because for the most part it avoids the stupid cliches and formulaic potholes that befall its brethren,"[1.7355124  1.356796   1.3025244  1.302367   0.82388884 0.81958044
 0.41445804]"
853,853,test_1188,test,0,negative,excesses paper year party flaunts a its,flaunts its quirky excesses like a new year s eve drunk sporting a paper party hat,"[1.0418742  1.0357715  0.7180684  0.6397292  0.5374193  0.38295686
 0.38178524]"
513,513,test_1519,test,0,negative,perfectly jokester dead to eyed up n,never quite transcends jokester status and the punchline does n t live up to barry s dead eyed perfectly chilled delivery,"[1.3013843  1.2486913  0.966467   0.78008807 0.6930969  0.63050914
 0.56547457]"
855,855,test_1270,test,0,negative,never coma star s entirety s when,it s never a good sign when a film s star spends the entirety of the film in a coma,"[1.9154557  1.527422   1.2807124  1.2293439  1.1629786  0.9461078
 0.92663145]"
415,415,test_1770,test,0,negative,is becomes silly clericks action just fi,the premise is overshadowed by the uberviolence of the clericks as this becomes just another kung fu sci fi movie with silly action sequences,"[0.98344094 0.9012774  0.78546304 0.52220225 0.5215847  0.47586563
 0.43447605]"
1688,1688,test_911,test,1,positive,a loving of little appeal film considerable,a loving little film of considerable appeal,"[ 1.3895111   1.1596175   0.20979911 -0.6966372  -0.7922921  -0.8782154
 -1.4883456 ]"
1608,1608,test_348,test,1,positive,movie of best the its kind since,the best movie of its kind since brazil,"[ 0.9514733   0.76064205  0.7573841   0.54239774  0.00649685 -0.5270048
 -0.7283344 ]"
456,456,test_1456,test,0,negative,of rehash doorstep instead the leave old,the makers have forsaken the entertaining elements of the original and instead rehash old jokes and leave any life at the doorstep,"[1.8407212  1.5544884  1.2064037  0.7031973  0.5786578  0.49720085
 0.47952056]"
1248,1248,test_987,test,0,negative,s and silliest the incoherent arguably most,arguably the year s silliest and most incoherent movie,"[ 1.5939965   0.81131333  0.5194546   0.5133961   0.34304535 -0.36329314
 -1.0892853 ]"
211,211,test_1613,test,0,negative,facile of film leavitt noxious the story,based on a david leavitt story the film shares that writer s usual blend of observant cleverness too facile coincidence and slightly noxious preciousness,"[4.849842   1.8377815  1.4477938  1.2933722  1.1466234  0.51190794
 0.4671596 ]"
591,591,test_351,test,1,positive,night of matthew events eerie only at,kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed,"[1.9782519  1.2997782  1.0674529  1.0217232  0.81541836 0.8056235
 0.77517724]"
482,482,test_520,test,1,positive,exposes bedouins their a generally lives of,a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives,"[1.4232655  1.1501127  1.0806452  1.065739   1.042256   0.99192804
 0.96025604]"
773,773,test_1104,test,0,negative,short parker meddling source the due with,earnest falls short of its ideal predecessor largely due to parker s ill advised meddling with the timeless source material,"[1.6806266  1.6205536  1.5438048  1.04211    0.78051424 0.5951291
 0.5041904 ]"
1463,1463,test_1476,test,0,negative,in half off nearly timing seems every,the timing in nearly every scene seems a half beat off,"[2.000341   1.7499385  1.1064053  0.71734554 0.6575498  0.23047356
 0.0076913 ]"
333,333,test_295,test,1,positive,in other valedictory movies own bargain the,the pianist is a fine valedictory work for polanski made richer by his own experiences making his other movies somehow richer in the bargain,"[2.2445598  2.1153553  1.4647722  1.1404005  1.0106059  0.957063
 0.26208264]"
749,749,test_540,test,1,positive,it dig s the surprisingly and good,it s the cinematic equivalent of a good page turner and even if it s nonsense its claws dig surprisingly deep,"[2.4443748  1.4601847  1.0099297  0.9804724  0.9690059  0.80584884
 0.70091987]"
831,831,test_631,test,1,positive,of that should mirth charm story all,theirs is a simple and heart warming story full of mirth that should charm all but the most cynical,"[1.3435283  0.8211168  0.5353593  0.3160097  0.21239899 0.12608694
 0.02646913]"
942,942,test_1621,test,0,negative,interesting n just happened else you to,just because it really happened to you honey does n t mean that it s interesting to anyone else,"[1.6701194  1.0514727  0.99210846 0.9119927  0.61313105 0.5639617
 0.45091832]"
