,Unnamed: 0,text,label,exp_split,label_id,annotation_id,feat
644,644,the hours is what movies are supposed to be,0,train,ig,test_644,deeplift
526,526,compelling as it is exotic fast runner has a plot that rivals shakespeare for intrigue treachery and murder,0,train,ig,test_526,ig
498,498,it s also the year s sweetest movie,4,train,attention,test_498,attention
1382,1382,suffers from rambling repetitive dialogue and the visual drabness endemic to digital video,3,train,lime,test_1382,scaled attention
831,831,an enjoyably half wit remake of the venerable italian comedy big deal on madonna street,3,train,lime,test_831,lime
127,127,waydowntown is by no means a perfect film but its boasts a huge charm factor and smacks of originality,4,train,attention,test_127,ig
1326,1326,even legends like alfred hitchcock and john huston occasionally directed trifles so it s no surprise to see a world class filmmaker like zhang yimou behind the camera for a yarn that s ultimately rather inconsequential,0,train,ig,test_1326,ig
250,250,what s most striking about this largely celebratory film is the sense of isolation that permeates these bastions of individuality in an ikea world,3,train,lime,test_250,deeplift
595,595,a modest pleasure that accomplishes its goals with ease and confidence,1,train,gradients,test_595,gradients
1203,1203,mocking them now is an exercise in pointlessness,3,train,lime,test_1203,ig
162,162,britney has been delivered to the big screen safe and sound the way we like our 20 year old superstar girls to travel on the fame freeway,4,train,attention,test_162,attention
928,928,remember when bond had more glamour than clamor,0,train,ig,test_928,ig
1585,1585,the kids often appear to be reading the lines and are incapable of conveying any emotion,2,train,others,test_1585,attention
443,443,the saturation bombing of reggio s images and glass evocative music ultimately leaves viewers with the task of divining meaning,4,train,attention,test_443,gradients
97,97,this may not have the dramatic gut wrenching impact of other holocaust films but it s a compelling story mainly because of the way it s told by the people who were there,0,train,ig,test_97,lime
352,352,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,4,train,attention,test_352,lime
428,428,this is a very fine movie go see it,4,train,attention,test_428,attention
1260,1260,the result is solemn and horrifying yet strangely detached,3,train,lime,test_1260,attention
789,789,greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past and he is matched by schweig who carries the film on his broad handsome shoulders,3,train,lime,test_789,attention
673,673,a highly intriguing thriller coupled with some ingenious plot devices and some lavishly built settings,2,train,others,test_673,attention
506,506,an offbeat sometimes gross and surprisingly appealing animated film about the true meaning of the holidays,3,train,lime,test_506,lime
655,655,the perfect film for those who like sick comedies that can be snide,3,train,lime,test_655,lime
601,601,although life or something like it is very much in the mold of feel good movies the cast and director stephen herek s polished direction pour delightfully piquant wine from aged bottles,4,train,attention,test_601,attention
954,954,a movie that rather than skip along the seine more or less slogs its way through soggy paris tongue uncomfortably in cheek,2,train,others,test_954,scaled attention
330,330,go see it and enjoy,4,train,attention,test_330,lime
1806,1806,the stupidest most insulting movie of 2002 s first quarter,3,train,lime,test_1806,attention
336,336,as green guts monster movies go it s a beaut,3,train,lime,test_336,attention
699,699,thoughtful provocative and entertaining,3,train,lime,test_699,gradients
822,822,the powers team has fashioned a comedy with more laughs than many no question,1,train,gradients,test_822,gradients
326,326,hey who else needs a shower,1,train,gradients,test_326,gradients
893,893,it s like a poem,4,train,attention,test_893,deeplift
88,88,if it s possible for a sequel to outshine the original then sl2 does just that,2,train,others,test_88,ig
