,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
868,868,test_1661,test,0,negative,is tepid waste instead a,what could and should have been biting and droll is instead a tepid waste of time and talent,[0.00536862 0.00375611 0.00354544 0.00290101 0.00235683]
1193,1193,test_1009,test,0,negative,a about silly a film,a silly self indulgent film about a silly self indulgent filmmaker,[0.00680172 0.0055887  0.00274371 0.00198273 0.00158457]
156,156,test_343,test,1,positive,wonderful is a with that,bubba ho tep is a wonderful film with a bravura lead performance by bruce campbell that does n t deserve to leave the building until everyone is aware of it,[0.00779835 0.00655277 0.0055682  0.00441722 0.00327812]
1349,1349,test_111,test,0,negative,little great and s sizzle,it s a great deal of sizzle and very little steak,[0.0092071  0.0073511  0.00664505 0.00456209 0.00380658]
340,340,test_553,test,1,positive,this and should and its,this warm and gentle romantic comedy has enough interesting characters to fill several movies and its ample charms should win over the most hard hearted cynics,[0.0045563  0.00415166 0.00399943 0.00282765 0.00277258]
481,481,test_481,test,1,positive,is nurturing a gauzy in,for all its failed connections divine secrets of the ya ya sisterhood is nurturing in a gauzy dithering way,[0.01836614 0.00878293 0.00305945 0.00275088 0.00274215]
636,636,test_1311,test,0,negative,uneven suffers that and an,despite a powerful portrayal by binoche it s a period romance that suffers from an overly deliberate pace and uneven narrative momentum,[0.003448   0.00301259 0.00297308 0.00209272 0.00199487]
776,776,test_1180,test,1,positive,for deserves he and this,whatever eyre s failings as a dramatist he deserves credit for bringing audiences into this hard and bitter place,[0.00943926 0.00796223 0.00703061 0.00292295 0.00278356]
899,899,test_516,test,1,positive,that is a carefully but,a carefully structured scream of consciousness that is tortured and unsettling but unquestionably alive,[0.00970422 0.00948196 0.0047988  0.00461221 0.00399587]
458,458,test_1512,test,0,negative,unsatisfying an and where hybrid,an unsatisfying hybrid of blair witch and typical stalk and slash fare where the most conservative protagonist is always the last one living,[0.01028398 0.00446199 0.0019402  0.00190816 0.00178177]
1672,1672,test_340,test,1,positive,skillful a slick little film,a slick skillful little horror film,[0.02402006 0.0192654  0.01265446 0.00644463 0.00198057]
1440,1440,test_1061,test,0,negative,but with flat a revelatory,flat but with a revelatory performance by michelle williams,[0.02476276 0.00816598 0.00639954 0.00517234 0.00258898]
133,133,test_1638,test,0,negative,somehow buy meant would this,somehow we re meant to buy that this doting mother would shun her kids travel to one of the most dangerous parts of the world don fatigues and become g i jane,[0.00351729 0.00258534 0.00182088 0.00146403 0.00143491]
1442,1442,test_1067,test,0,negative,ihops syrup pile this much,ihops do n t pile on this much syrup,[0.00850836 0.00725174 0.00539685 0.00441716 0.0030889 ]
1566,1566,test_1193,test,0,negative,is drab strangely a romp,scotland pa is a strangely drab romp,[0.01905723 0.00996571 0.00886537 0.00514543 0.00485234]
1063,1063,test_1535,test,0,negative,undone by and its overly,undone by its overly complicated and derivative screenplay the glacier paced direction and the stereotypical characters,[0.01070189 0.01028149 0.00391353 0.00324474 0.00211981]
1576,1576,test_1333,test,0,negative,at rung entries bottom the,at the bottom rung of the series entries,[0.02808222 0.00604116 0.00578432 0.0054565  0.00456662]
