doc_id,document,query,label,annotation_id,label_id,exp_split
702876,"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Referring to him as only ""the witness"", Amrozi accused his brother of deliberately distorting his evidence.
",1,702876_702977,paraphrase,train
2108705,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for 2.5 billion.,"Yucaipa bought Dominick's in 1995 for 693 million and sold it to Safeway for 1.8 billion in 1998.
",0,2108705_2108831,semantic equivalence,train
1330381,"They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.","On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.
",1,1330381_1330521,paraphrase,train
3344667,"Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A4.56, having earlier set a record high of A4.57.","Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A4.57.
",0,3344667_3344648,semantic equivalence,train
1236820,"The stock rose 2.11, or about 11 percent, to close Friday at 21.51 on the New York Stock Exchange.","PG&E Corp. shares jumped 1.63 or 8 percent to 21.03 on the New York Stock Exchange on Friday.
",1,1236820_1236712,paraphrase,train
738533,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.
",1,738533_737951,paraphrase,train
264589,"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.
",0,264589_264502,semantic equivalence,train
579975,The DVD-CCA then appealed to the state Supreme Court.,"The DVD CCA appealed that decision to the U.S. Supreme Court.
",1,579975_579810,paraphrase,train
3114205,"That compared with 35.18 million, or 24 cents per share, in the year-ago period.","Earnings were affected by a non-recurring 8 million tax benefit in the year-ago period.
",0,3114205_3114194,semantic equivalence,train
222621,"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.","Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.
",0,222621_222514,semantic equivalence,train
3131772,Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.
",0,3131772_3131625,semantic equivalence,train
58747,"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.
",0,58747_58516,semantic equivalence,train
1464126,But he added group performance would improve in the second half of the year and beyond.,"De Sole said in the results statement that group performance would improve in the second half of the year and beyond.
",1,1464126_1464107,paraphrase,train
771416,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.
",1,771416_771467,paraphrase,train
142746,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.
",0,142746_142671,semantic equivalence,train
1286053,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,"Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.
",0,1286053_1286069,semantic equivalence,train
1563874,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.","Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.
",0,1563874_1563853,semantic equivalence,train
2150265,"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.","Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more ""fair and equitable"" service for infertility sufferers.
",1,2150265_2150184,paraphrase,train
2044342,"""I think you'll see a lot of job growth in the next two years,"" he said, adding the growth could replace jobs lost.","""I think you'll see a lot of job growth in the next two years,"" said Mankiw.
",0,2044342_2044457,semantic equivalence,train
1284150,"The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.","Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location.
",1,1284150_1284173,paraphrase,train
3270389,"But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands.
",1,3270389_3270327,paraphrase,train
2294059,A federal magistrate in Fort Lauderdale ordered him held without bail.,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.
",1,2294059_2294112,paraphrase,train
1713015,A BMI of 25 or above is considered overweight; 30 or above is considered obese.,"A BMI between 18.5 and 24.9 is considered normal, over 25 is considered overweight and 30 or greater is defined as obese.
",0,1713015_1712982,semantic equivalence,train
1321918,"Six months ago, the IMF and Argentina struck a bare-minimum 6.8-billion debt rollover deal that expires in August.","But six months ago, the two sides managed to strike a 6.8-billion debt rollover deal, which expires in August.
",1,1321918_1321644,paraphrase,train
1239046,"Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.","Simply put, shy invividuals tend to be more timid with new people and situations.
",1,1239046_1239031,paraphrase,train
2907515,"I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse.","""I wanted to bring the most beautiful people into the most beautiful building,"" Tunick said Sunday.
",1,2907515_2907224,paraphrase,train
2791650,"The broad Standard & Poor's 500 <.SPX> fell 10.75 points, or 1.02 percent, to 1,039.32.","The S&P 500 index was up 1.26, or 0.1 percent, to 1,039.32 after sinking 10.75 yesterday.
",0,2791650_2791604,semantic equivalence,train
2559762,"Duque will return to Earth Oct. 27 with the station's current crew, U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.","Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.
",0,2559762_2559517,semantic equivalence,train
105493,"Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than 34 billion.","Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of 33.4 billion last year.
",1,105493_105432,paraphrase,train
14663,"The largest gains were seen in prices, new orders, inventories and exports.","Sub-indexes measuring prices, new orders, inventories and exports increased.
",1,14663_14617,paraphrase,train
1692902,Trading in Loral was halted yesterday; the shares closed on Monday at 3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at 3.01 Friday.
",1,1692902_1692851,paraphrase,train
1480561,Earnings per share from recurring operations will be 13 cents to 14 cents.,"That beat the company's April earnings forecast of 8 to 9 cents a share.
",0,1480561_1480670,semantic equivalence,train
3089434,"He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.","After that, he plans to have dinner at Camp Bondsteel with U.S. troops stationed there.
",1,3089434_3089441,paraphrase,train
2538111,Retailers J.C. Penney Co. Inc. (JCP) and Walgreen Co. (WAG) kick things off on Monday.,"Retailers J.C. Penney Co. Inc. JCP.N and Walgreen Co. WAG.N kick things off on Monday.
",1,2538111_2538021,paraphrase,train
1341941,Prosecutors filed a motion informing Lee they intend to seek the death penalty.,"He added that prosecutors will seek the death penalty.
",1,1341941_1341915,paraphrase,train
374967,"Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.","Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools.
",1,374967_375017,paraphrase,train
2321401,He beat testicular cancer that had spread to his lungs and brain.,"Armstrong, 31, battled testicular cancer that spread to his brain.
",0,2321401_2321455,semantic equivalence,train
1356545,"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.","Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.
",1,1356545_1356676,paraphrase,train
2198036,"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.","Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.
",0,2198036_2198094,semantic equivalence,train
921159,"The US chip market is expected to decline 2.1 percent this year, then grow 15.7 percent in 2004.","The Americas market will decline 2.1 percent to 30.6 billion in 2003, and then grow 15.7 percent to 35.4 billion in 2004.
",1,921159_921272,paraphrase,train
740726,"The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.","The group will be headed by John S. Wolf, an assistant secretary of state who has served in Australia, Vietnam, Greece and Pakistan.
",1,740726_739960,paraphrase,train
284798,"The commission must work out the plan's details, but the average residential customer paying 840 a year would get a savings of about 30 annually.","An average residential customer paying 840 a year for electricity could see a savings of 30 annually.
",0,284798_284937,semantic equivalence,train
1041293,The company has said it plans to restate its earnings for 2000 through 2002.,"The company had announced in January that it would have to restate earnings for 2002, 2001 and perhaps 2000.
",1,1041293_1041421,paraphrase,train
2630545,Results from No. 2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight.,"Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.
",1,2630545_2630577,paraphrase,train
1014977,"""The result is an overall package that will provide significant economic growth for our employees over the next four years.""","""The result is an overall package that will provide a significant economic growth for our employees over the next few years,"" he said.
",1,1014977_1014962,paraphrase,train
2674986,"The songs are on offer for 99 cents each, or 9.99 for an album.","The company will offer songs for 99 cents and albums for 9.95.
",1,2674986_2674800,paraphrase,train
2193346,"However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.","The talk, however,has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive.
",1,2193346_2193362,paraphrase,train
149798,Comcast Class A shares were up 8 cents at 30.50 in morning trading on the Nasdaq Stock Market.,"The stock rose 48 cents to 30 yesterday in Nasdaq Stock Market trading.
",1,149798_149596,paraphrase,train
213302,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president's appearance, Crosby said.
",1,213302_213135,paraphrase,train
1963350,"A former teammate, Carlton Dotson, has been charged with the murder.","His body was found July 25, and former teammate Carlton Dotson has been charged in his shooting death.
",0,1963350_1963106,semantic equivalence,train
3035675,Several of the questions asked by the audience in the fast-paced forum were new to the candidates.,"Several of the audience questions were new to the candidates as well.
",1,3035675_3035707,paraphrase,train
