,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
595,595,test_408,test,1,positive,of as is the the an to,the film is exhilarating to watch because sandler liberated from the constraints of formula reveals unexpected depths as an actor,"[0.09034914 0.06945431 0.06707105 0.0562798  0.0562798  0.05207492
 0.04806764]"
929,929,test_1154,test,0,negative,you being think the material author for,being author wells great grandson you d think filmmaker simon wells would have more reverence for the material,"[0.02558853 0.01765667 0.01246551 0.0119366  0.01076996 0.01059271
 0.00644063]"
947,947,test_1790,test,1,positive,the the a of in world providing,succeeds in providing a disquiet world the long dreaded completion of the police academy series,"[ 0.10205255  0.10205255  0.08839484  0.08016038  0.06113361  0.01686361
 -0.08554077]"
286,286,test_100,test,0,negative,nor an spend though neither the somewhere,somewhere short of tremors on the modern b scene neither as funny nor as clever though an agreeably unpretentious way to spend ninety minutes,"[0.13937792 0.05968352 0.05225228 0.05188436 0.04699282 0.03746472
 0.02951659]"
547,547,test_760,test,1,positive,of beautifully s meditation a a the,it s a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel,"[0.07287827 0.03975366 0.02794204 0.02385578 0.01838448 0.01838448
 0.01443133]"
199,199,test_1033,test,0,negative,lack pacing maddeningly slow acting film creativity,a simple sometimes maddeningly slow film that has just enough charm and good acting to make it interesting but is ultimately pulled under by the pacing and lack of creativity within,"[0.8759755  0.47801584 0.4002891  0.39343822 0.17183289 0.16253291
 0.07696028]"
141,141,test_1086,test,0,negative,cringing and a sucks from out the,the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun toward the end you can feel your veins cringing from the workout,"[0.12745771 0.0710379  0.06432538 0.06261924 0.05845459 0.02458568
 0.02323468]"
579,579,test_1,test,1,positive,keenly does movie emerges feel n honest,emerges as something rare an issue movie that s so honest and keenly observed that it does n t feel like one,"[0.08811016 0.08549974 0.06979202 0.04883859 0.0412982  0.0402451
 0.03999477]"
274,274,test_1017,test,0,negative,ornamentation telegraphed cliches episodes henna old group,nair stuffs the film with dancing henna ornamentation and group song but her narrative cliches and telegraphed episodes smell of old soap opera,"[0.15182352 0.12661815 0.06085573 0.05835079 0.05501011 0.04606671
 0.04402505]"
606,606,test_679,test,1,positive,that and the the it because for,works because for the most part it avoids the stupid cliches and formulaic potholes that befall its brethren,"[0.08489516 0.0389415  0.03829514 0.03829514 0.02783551 0.02659039
 0.01993139]"
853,853,test_1188,test,0,negative,flaunts excesses hat quirky drunk party paper,flaunts its quirky excesses like a new year s eve drunk sporting a paper party hat,"[0.35608268 0.23266844 0.14157747 0.11036822 0.10571827 0.10247482
 0.07278211]"
513,513,test_1519,test,0,negative,jokester punchline delivery never dead live t,never quite transcends jokester status and the punchline does n t live up to barry s dead eyed perfectly chilled delivery,"[0.08558553 0.03003268 0.0288857  0.02806095 0.01467479 0.01231257
 0.01229078]"
855,855,test_1270,test,0,negative,a a a spends when it never,it s never a good sign when a film s star spends the entirety of the film in a coma,"[0.04732667 0.04732667 0.04732667 0.04106087 0.03924464 0.0380215
 0.03785436]"
415,415,test_1770,test,0,negative,uberviolence fu kung clericks premise action becomes,the premise is overshadowed by the uberviolence of the clericks as this becomes just another kung fu sci fi movie with silly action sequences,"[0.20031065 0.07197178 0.0653914  0.06137105 0.05196141 0.04432803
 0.04356405]"
1688,1688,test_911,test,1,positive,loving considerable appeal film little of a,a loving little film of considerable appeal,"[ 0.25127047  0.16482781  0.16275027  0.13500655  0.05223903 -0.03301055
 -0.20409553]"
1608,1608,test_348,test,1,positive,since best of kind the its movie,the best movie of its kind since brazil,"[ 0.03150836  0.02902529  0.0256166   0.02507041  0.01213467  0.00475522
 -0.01180637]"
456,456,test_1456,test,0,negative,jokes old forsaken instead leave doorstep rehash,the makers have forsaken the entertaining elements of the original and instead rehash old jokes and leave any life at the doorstep,"[0.11559566 0.09487461 0.07351476 0.05542849 0.05125614 0.05003665
 0.0432181 ]"
1248,1248,test_987,test,0,negative,movie most incoherent the and arguably year,arguably the year s silliest and most incoherent movie,"[ 0.04040408  0.0219085   0.01430521  0.0124046   0.00723418  0.00585451
 -0.00531764]"
