,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
1310,1310,test_403,test,1,positive,shortcomings soul fisher true life way,fisher has bared his soul and confronted his own shortcomings here in a way that feels very human and very true to life,[0.316881   0.23120251 0.17119353 0.15560916 0.15533176 0.0910373 ]
1761,1761,test_309,test,1,positive,quest drama hearts true come origins,a tender and touching drama based on the true story of a troubled african american s quest to come to terms with his origins reveals the yearning we all have in our hearts for acceptance within the family circle,[0.35118097 0.33401784 0.27155465 0.18267578 0.13483241 0.1330598 ]
1426,1426,test_894,test,1,positive,of is is to a s,to the film s credit the acting is fresh and unselfconscious and munch is a marvel of reality versus sappy sentiment,[0.08520108 0.0561159  0.0561159  0.05580916 0.04657193 0.03938023]
1234,1234,test_1537,test,0,negative,cold is a and and the,the cold and dreary weather is a perfect metaphor for the movie itself which contains few laughs and not much drama,[0.14029792 0.08638205 0.0856365  0.05579657 0.05579657 0.04898449]
1102,1102,test_34,test,0,negative,less loses a the the the,the story loses its bite in a last minute happy ending that s even less plausible than the rest of the picture,[0.09556754 0.08220418 0.06723426 0.03178293 0.03178293 0.03178293]
1492,1492,test_213,test,1,positive,goliath film entertaining important story immensely,moore s complex and important film is also believe it or not immensely entertaining a david and goliath story that s still very much playing itself out,[0.23454139 0.17773941 0.15079555 0.12206402 0.11421382 0.11298539]
684,684,test_465,test,1,positive,denzel delivers director engaging as debut,in his debut as a film director denzel washington delivers a lean and engaging work,[0.04014531 0.03261334 0.02174121 0.01938631 0.01685765 0.01129267]
1288,1288,test_1630,test,0,negative,a a a hell t t,a great ending does n t make up for a weak movie and crazy as hell does n t even have a great ending,[0.08724387 0.08724387 0.08724387 0.08691886 0.0611634  0.0611634 ]
1608,1608,test_244,test,1,positive,love movie wedding happy big big,it uses an old time formula it s not terribly original and it s rather messy but you just have to love the big dumb happy movie my big fat greek wedding,[0.26114556 0.16858964 0.15456316 0.08938426 0.08080395 0.08080395]
1820,1820,test_1805,test,0,negative,is is a but that never,the film has a few cute ideas and several modest chuckles but it is n t exactly kiddie friendly alas santa is more ho hum than ho ho ho and the snowman who never gets to play that flute has all the charm,[0.12559018 0.12559018 0.11108126 0.10929266 0.07595336 0.06541246]
173,173,test_316,test,1,positive,star wars major way back in,star wars is back in a major way,[0.16922072 0.10870837 0.10444047 0.03629946 0.02290075 0.00884132]
1679,1679,test_1209,test,1,positive,no outcast than subject t longer,it s a decent glimpse into a time period and an outcast that is no longer accessible but it does n t necessarily shed more light on its subject than the popular predecessor,[0.7196375  0.45266646 0.25714064 0.21737963 0.19102478 0.13944797]
1462,1462,test_618,test,1,positive,educational entertainment screen television inch of,whether seen on a 10 inch television screen or at your local multiplex the edge of your seat educational antics of steve irwin are priceless entertainment,[0.16160221 0.12500843 0.10357293 0.10223386 0.07137678 0.07050792]
1140,1140,test_1109,test,0,negative,crammed bad nothing and a is,nothing debases a concept comedy quite like the grinding of bad ideas and showtime is crammed full of them,[0.12802884 0.0724237  0.06121888 0.03610005 0.0276831  0.02629346]
428,428,test_560,test,1,positive,of the made it s honest,it s one of the most honest films ever made about hollywood,[0.0795209  0.03606037 0.03343216 0.02571123 0.02017636 0.01287865]
306,306,test_585,test,1,positive,in a and its beautiful downbeat,a triumph relentless and beautiful in its downbeat darkness,[ 0.05472425  0.04594721  0.04099093  0.01947454 -0.0044779  -0.00908546]
1630,1630,test_1492,test,0,negative,a the the the and and,abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists,[0.12107988 0.07116674 0.07116674 0.07116674 0.06851666 0.06851666]
743,743,test_130,test,1,positive,of of is the it because,enormously likable partly because it is aware of its own grasp of the absurd,[0.07214826 0.07214826 0.05295621 0.04563026 0.02631567 0.0253171 ]
1579,1579,test_776,test,1,positive,forces believes about theater talent makers,despite what anyone believes about the goal of its makers the show represents a spectacular piece of theater and there s no denying the talent of the creative forces behind it,[0.14154258 0.09260543 0.09233585 0.0894925  0.07293218 0.06886597]
1389,1389,test_920,test,0,negative,an or the on for s,for anyone who grew up on disney s 1950 treasure island or remembers the 1934 victor fleming classic this one feels like an impostor,[0.0715021  0.05843339 0.05742774 0.03475426 0.03469639 0.02746864]
1735,1735,test_318,test,1,positive,satisfies dazzles fast film eye action,it s rare to find a film that dazzles the eye challenges the brain and satisfies our lust for fast paced action but minority report delivers all that and a whole lot more,[0.376036   0.31589952 0.22245869 0.17451808 0.1549279  0.1534754 ]
179,179,test_614,test,1,positive,refreshingly authentic age tale coming of,a refreshingly authentic coming of age tale,[ 0.5374025   0.27379537  0.2694419   0.18033007 -0.01209166 -0.03426032]
929,929,test_1187,test,0,negative,problem t but own just director,but that s just the problem with it the director has n t added enough of his own ingredients,[0.18469995 0.08595097 0.0845409  0.06059045 0.04529608 0.01959059]
296,296,test_221,test,1,positive,of of the the one past,one of the greatest romantic comedies of the past decade,[0.0624455  0.0624455  0.05259991 0.05259991 0.00970058 0.00967173]
1742,1742,test_1131,test,0,negative,bad dismiss out class poorly or,the premise is in extremely bad taste and the film s supposed insights are so poorly thought out and substance free that even a high school senior taking his or her first psychology class could dismiss them,[1.0886805  0.27138454 0.1400526  0.1224823  0.07861174 0.05822003]
781,781,test_900,test,1,positive,that of a a on take,a spunky original take on a theme that will resonate with singles of many ages,[0.11776999 0.09928272 0.06321824 0.06321824 0.03019292 0.02141428]
