,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
0,0,test_31,test,1,positive,with film to to to is is,though it is by no means his best work laissez passer is a distinguished and distinctive effort by a bona fide master a fascinating film replete with rewards to be had by all willing to make the effort to reap,"[0.17322639 0.15598601 0.11216752 0.11216752 0.11216752 0.09656893
 0.09656893]"
1,1,test_102,test,1,positive,enthralling deconstructing frustrates film to to playful,an enthralling playful film that constantly frustrates our desire to know the truth about this man while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to,"[0.20463033 0.18194439 0.16341706 0.15598601 0.11216752 0.11216752
 0.09511983]"
2,2,test_140,test,1,positive,presumes film were fleeting to is is,the film is faithful to what one presumes are the book s twin premises that we become who we are on the backs of our parents but we have no idea who they were at our age and that time is a fleeting and,"[0.17008568 0.15598601 0.13173874 0.12409309 0.11216752 0.09656893
 0.09656893]"
3,3,test_215,test,1,positive,ribald melodramatic to to mama is are,though mama takes a bit too long to find its rhythm and a third act plot development is somewhat melodramatic its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium,"[0.39595222 0.19928005 0.11216752 0.11216752 0.09729442 0.09656893
 0.09139866]"
4,4,test_303,test,1,positive,n insight celebratory with indomitable were were,as weber and weissman demonstrate with such insight and celebratory verve the cockettes were n t as much about gender sexual preference or political agitprop as they were simply a triumph of the indomitable human will,"[0.5678     0.268669   0.17586431 0.17322639 0.15391897 0.13173874
 0.13173874]"
5,5,test_352,test,1,positive,to exudes is nostalgic that are but,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for,"[0.11216752 0.10697947 0.09656893 0.09352207 0.09272432 0.09139866
 0.08724245]"
6,6,test_445,test,0,negative,n with t to is unelected of,a depressing confirmation of everything those of us who do n t object to the description unelected have suspected all along george w bush is an incurious uncharismatic overgrown frat boy with a mean streak a mile,"[0.5678     0.17322639 0.12402196 0.11216752 0.09656893 0.06131371
 0.05779351]"
7,7,test_810,test,1,positive,caution with with to to such that,throwing caution to the wind with an invitation to the hedonist in us all nair has constructed this motion picture in such a way that even the most cynical curmudgeon with find himself or herself smiling at one time or another,"[0.18146881 0.17322639 0.17322639 0.11216752 0.11216752 0.106829
 0.09272432]"
8,8,test_859,test,1,positive,is and and a are that s,if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker s son more incredible still are the clear eyed boldness and quiet irony with which actor and director take on,"[0.3843975  0.1981927  0.1981927  0.11928892 0.10884506 0.10680611
 0.09887733]"
9,9,test_883,test,1,positive,than is bend faithful find and past,leave it to rohmer now 82 to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than,"[0.5530186  0.3843975  0.30572248 0.28047085 0.23269239 0.1981927
 0.19110599]"
