,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
595,595,test_408,test,1,positive,because is reveals exhilarating the watch unexpected,the film is exhilarating to watch because sandler liberated from the constraints of formula reveals unexpected depths as an actor,"[0.00744333 0.00404078 0.00345723 0.00335098 0.00248548 0.00188539
 0.00153023]"
929,929,test_1154,test,0,negative,reverence more for the have being would,being author wells great grandson you d think filmmaker simon wells would have more reverence for the material,"[0.01757103 0.00793494 0.00389725 0.003184   0.00220471 0.00208759
 0.00177861]"
947,947,test_1790,test,1,positive,succeeds in providing a disquiet police dreaded,succeeds in providing a disquiet world the long dreaded completion of the police academy series,"[0.07021105 0.00917393 0.00484202 0.0015916  0.00113043 0.00080378
 0.00051689]"
286,286,test_100,test,0,negative,neither somewhere short nor on agreeably though,somewhere short of tremors on the modern b scene neither as funny nor as clever though an agreeably unpretentious way to spend ninety minutes,"[0.0132741  0.00592619 0.00201117 0.00184457 0.00062533 0.00056415
 0.00041622]"
547,547,test_760,test,1,positive,a s it beautifully accomplished lyrical meditation,it s a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel,"[0.01103114 0.00981726 0.00828882 0.00750288 0.00467132 0.00414071
 0.00139056]"
199,199,test_1033,test,0,negative,is under ultimately by pulled the lack,a simple sometimes maddeningly slow film that has just enough charm and good acting to make it interesting but is ultimately pulled under by the pacing and lack of creativity within,"[0.00265173 0.00260264 0.00227193 0.00167529 0.00160167 0.00140364
 0.00104972]"
141,141,test_1086,test,0,negative,the and then starts cringing sucks you,the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun toward the end you can feel your veins cringing from the workout,"[0.00394179 0.00310009 0.00233902 0.0015499  0.0014768  0.00144497
 0.00124014]"
579,579,test_1,test,1,positive,emerges s that honest an does as,emerges as something rare an issue movie that s so honest and keenly observed that it does n t feel like one,"[0.00423028 0.00383386 0.00333208 0.00306488 0.00253478 0.00229279
 0.00190732]"
274,274,test_1017,test,0,negative,but cliches smell and telegraphed stuffs her,nair stuffs the film with dancing henna ornamentation and group song but her narrative cliches and telegraphed episodes smell of old soap opera,"[0.00629669 0.00384236 0.00234216 0.00228057 0.00181427 0.00154836
 0.00117578]"
606,606,test_679,test,1,positive,because works the it avoids most part,works because for the most part it avoids the stupid cliches and formulaic potholes that befall its brethren,"[0.02585184 0.01933336 0.01400213 0.00439688 0.00327352 0.00240241
 0.00089586]"
853,853,test_1188,test,0,negative,flaunts like its excesses a sporting a,flaunts its quirky excesses like a new year s eve drunk sporting a paper party hat,"[0.01262713 0.00741351 0.00624699 0.00135977 0.00100915 0.00094757
 0.00065519]"
513,513,test_1519,test,0,negative,does t and never transcends perfectly punchline,never quite transcends jokester status and the punchline does n t live up to barry s dead eyed perfectly chilled delivery,"[0.01301254 0.00416864 0.00286902 0.00245226 0.00103825 0.00087589
 0.00077088]"
855,855,test_1270,test,0,negative,spends a coma never in sign when,it s never a good sign when a film s star spends the entirety of the film in a coma,"[0.00758089 0.0021415  0.00207828 0.00198981 0.00181143 0.00148315
 0.00124812]"
415,415,test_1770,test,0,negative,as becomes overshadowed is just with by,the premise is overshadowed by the uberviolence of the clericks as this becomes just another kung fu sci fi movie with silly action sequences,"[0.00456201 0.00430495 0.0030698  0.00297245 0.00135452 0.00115469
 0.00100988]"
1688,1688,test_911,test,1,positive,a little loving of considerable film appeal,a loving little film of considerable appeal,"[0.01681875 0.00957155 0.00838001 0.0080982  0.00572137 0.00373953
 0.00252572]"
