,Unnamed: 0,annotation_id,exp_split,label,label_id,text,full text doc,importance_scores
932,932,test_1169,test,0,negative,a that one hideous confusing,a hideous confusing spectacle one that may well put the nail in the coffin of any future rice adaptations,[0.08469124 0.07328817 0.06560074 0.06492823 0.05097308]
103,103,test_1399,test,0,negative,unmemorable it faded already have,i saw knockaround guys yesterday and already the details have faded like photographs from the spanish american war it s so unmemorable that it turned my ballpoint notes to invisible ink,[0.08208011 0.04139266 0.04045748 0.03968154 0.03823577]
252,252,test_194,test,1,positive,brilliantly has and composing a,mr parker has brilliantly updated his source and grasped its essence composing a sorrowful and hilarious tone poem about alienated labor or an absurdist workplace sitcom,[0.0995874  0.07313094 0.05928945 0.05024602 0.04877682]
1680,1680,test_628,test,1,positive,a clever blend of and,a clever blend of fact and fiction,[0.23925917 0.1607776  0.08595213 0.06449347 0.04637509]
48,48,test_1069,test,0,negative,inquisitions focuses sledgehammers this and,focuses on joan s raging hormones and sledgehammers the audience with spanish inquisitions about her madness so much that i became mad that i wasted 123 minutes and 9 50 on this 21st century torture device,[0.05459408 0.05185186 0.04205113 0.03731104 0.03532113]
939,939,test_1528,test,0,negative,stinky ripe is go so,the pivotal narrative point is so ripe the film ca n t help but go soft and stinky,[0.09189434 0.06656681 0.06615702 0.04594122 0.04546025]
1080,1080,test_1757,test,0,negative,prevents all from the above,all the necessary exposition prevents the picture from rising above your generic sand n sandal adventure,[0.12461062 0.09459262 0.05737471 0.05351993 0.04078756]
1249,1249,test_996,test,1,positive,lovingly basically a taking pristine,lovingly choreographed bloodshed taking place in a pristine movie neverland basically,[0.20507076 0.09554598 0.08472405 0.06711291 0.06032519]
754,754,test_611,test,1,positive,that this that the can,you can feel the heat that ignites this gripping tale and the humor and humanity that root it in feeling,[0.05667111 0.04703342 0.0462884  0.045813   0.04401126]
1525,1525,test_1629,test,0,negative,too lazy to its of,too lazy to take advantage of its semi humorous premise,[0.11309846 0.09358564 0.05870752 0.04725049 0.02803487]
1623,1623,test_908,test,1,positive,a with some serious gem,a comic gem with some serious sparkles,[0.14541784 0.11867701 0.08112815 0.06461275 0.06375214]
546,546,test_756,test,1,positive,is rain a small enveloping,rain is a small treasure enveloping the viewer in a literal and spiritual torpor that is anything but cathartic,[0.1172996  0.09063845 0.06610608 0.06396165 0.05648001]
269,269,test_718,test,1,positive,offers and it gorgeous effective,though the controversial korean filmmaker s latest effort is not for all tastes it offers gorgeous imagery effective performances and an increasingly unsettling sense of foreboding,[0.11485766 0.10864799 0.07386341 0.06845348 0.05073503]
